Date,Julian Day,Time,Air Temp,Site,Conductivity,Water Temp,pH,Salinity,Turbidity,DO,Chloride
6/4/2019,521,9:14,17.78,BfCr01,427.7,15.6,8.25,0.21,,9.19,18.21
6/12/2019,528,9:36,19.44,BfCr01,414.7,17.4,8.24,0.2,6.06,8.08,14.4
6/28/2019,544,9:37,23.89,BfCr01,381.3,21.7,8.36,0.18,,7.96,20.4
7/4/2019,550,10:09,23.33,BfCr01,371.8,23.8,8.53,0.18,,7.72,20.23
7/11/2019,557,9:30,24.44,BfCr01,380.7,24.2,8.44,0.18,30.16,7.24,18.41
7/18/2019,564,9:04,21.67,BfCr01,359.1,23,8.38,0.17,19.63,7.92,16.53
7/25/2019,571,8:46,16.11,BfCr01,423,19.7,8.32,0.2,,8.12,14.58
8/1/2019,578,9:02,21.11,BfCr01,398.3,22,8.3,0.19,16.3,6.8,11.81
8/8/2019,585,8:22,18.89,BfCr01,416,21.6,8.43,0.2,16.75,6.77,20.98
8/22/2019,599,8:16,21.67,BfCr01,430.5,22.5,8.13,0.21,17.63,6,
8/30/2019,607,12:54,27.78,BfCr01,394,22.2,8.51,0.19,,9.08,
6/4/2019,521,9:01,17.78,BfCr02,445.5,16.9,8.68,0.22,,8.96,19.72
6/12/2019,528,9:22,19.44,BfCr02,428.6,18.8,8.53,0.21,5.82,8.1,14.99
6/28/2019,544,9:24,23.89,BfCr02,414,22.7,8.79,0.2,,8.35,19.93
7/4/2019,550,9:45,23.33,BfCr02,398.1,24.8,8.98,0.19,,8.17,18.34
7/11/2019,557,8:55,24.44,BfCr02,398,25.5,8.86,0.19,20.3,7.19,18.8
7/18/2019,564,8:28,21.11,BfCr02,378,23.5,8.8,0.18,25.88,7.62,18.57
7/25/2019,571,8:18,16.11,BfCr02,449.5,20.7,8.6,0.22,,7.71,15.74
8/1/2019,578,8:34,21.11,BfCr02,441.5,23.2,8.45,0.21,17.95,6.75,12.88
8/8/2019,585,7:54,18.89,BfCr02,431.9,22.8,8.45,0.21,21.05,5.93,25.1
8/22/2019,599,7:49,21.67,BfCr02,457.5,24.1,8.44,0.22,21.93,5.91,
8/30/2019,607,12:36,27.78,BfCr02,395,22.4,8.65,0.19,,8.96,
6/21/2019,537,10:33,20.56,ChCr01,631,16.6,7.73,0.31,,8.32,34.53
6/27/2019,543,9:41,25.56,ChCr01,788,17.3,8.29,0.39,,8.77,60.8
7/4/2019,550,11:59,27.22,ChCr01,988,20.2,7.79,0.49,,7.2,77.81
7/11/2019,557,1:30,24.44,ChCr01,894,20.4,7.92,0.44,133.5,8.08,70.49
7/18/2019,564,10:54,22.78,ChCr01,1089,20.1,7.21,0.54,101.55,6.94,69.32
7/25/2019,571,10:33,20,ChCr01,1324,17.5,7.17,0.67,,7.57,73.97
8/1/2019,578,10:39,22.78,ChCr01,1555,19.5,7.29,0.79,583,6.42,89.99
